ID, Album, Chemin, Nom, Dimension
1, "Mixtape", "./images/albums/01-2018-Mixtape/Couverture.jpg", "Couverture", "C"
2, "Mixtape", "./images/albums/01-2018-Mixtape/Ver-Album.jpg", "Album", "A" 
3, "I am not", "./images/albums/02-2018-I_am_not/Couverture.jpg", "Couverture", "C"
4, "I am not", "./images/albums/02-2018-I_am_not/Ver-I_am.jpg", "I am", "A"
5, "I am not", "./images/albums/02-2018-I_am_not/Ver-Not.jpg", "Not", "A"
6, "I am who", "./images/albums/03-2018-I_am_who/Couverture.jpg", "Couverture", "C"
7, "I am who", "./images/albums/03-2018-I_am_who/Ver-I_am.jpg", "I am", "A"
8, "I am who", "./images/albums/03-2018-I_am_who/Ver-Who.jpg", "Who", "A"
9, "I am you", "./images/albums/04-2018-I_am_you/Couverture.jpg", "Couverture", "C"
10, "I am you", "./images/albums/04-2018-I_am_you/Ver-I_am.jpg", "I am", "A"
11, "I am you", "./images/albums/04-2018-I_am_you/Ver-You.jpg", "You", "A"
12, "Clé 1 : Miroh", "./images/albums/05-2019-Cle_miroh/Couverture.jpg", "Couverture", "C"
13, "Clé 1 : Miroh", "./images/albums/05-2019-Cle_miroh/Ver-Cle_1.jpg", "Clé 1", "A"
14, "Clé 1 : Miroh", "./images/albums/05-2019-Cle_miroh/Ver-Miroh.jpg", "Miroh", "A"
15, "Clé 1 : Miroh", "./images/albums/05-2019-Cle_miroh/Ver-limite.jpg", "Limited", "A"
16, "Clé 2 : Yellow wood", "./images/albums/06-2019-Cle_yellow_wood/Couverture.jpg", "Couverture", "C"
17, "Clé 2 : Yellow wood", "./images/albums/06-2019-Cle_yellow_wood/Ver-Cle_2.jpg", "Clé 2", "A"
18, "Clé 2 : Yellow wood", "./images/albums/06-2019-Cle_yellow_wood/Ver-Yellow_wood.jpg", "Yellow wood", "A"
19, "Clé 2 : Yellow wood", "./images/albums/06-2019-Cle_yellow_wood/Ver-limite.jpg", "Limited", "A"
20, "Clé : Levanter", "./images/albums/07-2019-Cle_levanter/Couverture.jpg", "Couverture", "C"
21, "Clé : Levanter", "./images/albums/07-2019-Cle_levanter/Ver-Cle.jpg", "Clé", "A"
22, "Clé : Levanter", "./images/albums/07-2019-Cle_levanter/Ver-Levanter.jpg", "Levanter", "A"
23, "Clé : Levanter", "./images/albums/07-2019-Cle_levanter/Ver-limite.jpg", "Limited", "A"
24, "Top", "./images/albums/08-2020-Top/Couverture.jpg", "Couverture", "C"
25, "Top", "./images/albums/08-2020-Top/Ver-A.jpg", "Limited A", "B"
26, "Top", "./images/albums/08-2020-Top/Ver-B.jpg", "Limited B", "B"
27, "Go live", "./images/albums/09-2020-Go_live/Couverture.jpg", "Couverture", "C"
28, "Go live", "./images/albums/09-2020-Go_live/Ver-A.jpg", "A", "A"
29, "Go live", "./images/albums/09-2020-Go_live/Ver-B.jpg", "B", "A"
30, "Go live", "./images/albums/09-2020-Go_live/Ver-C.jpg", "C", "A"
31, "Go live", "./images/albums/09-2020-Go_live/Ver-limite.jpg", "Limited", "A"
32, "In life", "./images/albums/10-2020-In_life/Couverture.jpg", "Couverture", "C"
33, "In life", "./images/albums/10-2020-In_life/Ver-A.jpg", "A - Orange", "A"
34, "In life", "./images/albums/10-2020-In_life/Ver-B.jpg", "B - Yellow", "A"
35, "In life", "./images/albums/10-2020-In_life/Ver-limite.jpg", "Limited", "A"
36, "All in", "./images/albums/11-2020-All_in/Couverture.jpg", "Couverture", "C"
37, "All in", "./images/albums/11-2020-All_in/Ver-A.jpg", "Limited A", "B"
38, "All in", "./images/albums/11-2020-All_in/Ver-B.jpg", "Limited B", "B"
39, "All in", "./images/albums/11-2020-All_in/Ver-C.jpg", "Limited C", "B"
40, "Noeasy", "./images/albums/12-2021-Noeasy/Couverture.jpg", "Couverture", "C"
41, "Noeasy", "./images/albums/12-2021-Noeasy/Ver-A.jpg", "A", "A"
42, "Noeasy", "./images/albums/12-2021-Noeasy/Ver-B.jpg", "B", "A"
43, "Noeasy", "./images/albums/12-2021-Noeasy/Ver-limite.jpg", "Limited", "A"
44, "Scars", "./images/albums/13-2021-Scars/Couverture.jpg", "Couverture", "C"
45, "Scars", "./images/albums/13-2021-Scars/Ver-A.jpg", "Limited A", "B"
46, "Scars", "./images/albums/13-2021-Scars/Ver-B.jpg", "Limited B", "B"
47, "Scars", "./images/albums/13-2021-Scars/Ver-C.jpg", "Limited C", "B"
48, "Christmas eveL", "./images/albums/14-2021-Christmas_evel/Couverture.jpg", "Couverture", "C"
49, "Christmas eveL", "./images/albums/14-2021-Christmas_evel/Ver-Album.jpg", "Red", "A"
50, "Christmas eveL", "./images/albums/14-2021-Christmas_evel/Ver-limite.jpg", "Limited", "A"
51, "Oddinary", "./images/albums/15-2022-Oddinary/Couverture.jpg", "Couverture", "C"
52, "Oddinary", "./images/albums/15-2022-Oddinary/Ver-Mask_off.jpg", "Mask off", "A"
53, "Oddinary", "./images/albums/15-2022-Oddinary/Ver-Scanning.jpg", "Scanning", "A"
54, "Oddinary", "./images/albums/15-2022-Oddinary/Ver-limite.jpg", "Limited", "A"
55, "Circus", "./images/albums/16-2022-Circus/Couverture.jpg", "Couverture", "C"
56, "Circus", "./images/albums/16-2022-Circus/Ver-A.jpg", "Limited A", "B"
57, "Circus", "./images/albums/16-2022-Circus/Ver-B.jpg", "Limited B", "B"
58, "Maxident", "./images/albums/17-2022-Maxident/Couverture.jpg", "Couverture", "C"
59, "Maxident", "./images/albums/17-2022-Maxident/Ver-Heart.jpg", "Heart", "A"
60, "Maxident", "./images/albums/17-2022-Maxident/Ver-T-crush.jpg", "T-Crush", "A"
61, "Maxident", "./images/albums/17-2022-Maxident/Ver-limite.jpg", "Limited", "A"
62, "The sound", "./images/albums/18-2023-The_sound/Couverture.jpg", "Couverture", "C"
63, "The sound", "./images/albums/18-2023-The_sound/Ver-A.jpg", "Limited A", "B"
64, "The sound", "./images/albums/18-2023-The_sound/Ver-B.jpg", "Limited B", "B"
65, "5-star", "./images/albums/19-2023-5-star/Couverture.jpg", "Couverture", "C"
66, "5-star", "./images/albums/19-2023-5-star/Ver-A.jpg", "A", "A"
67, "5-star", "./images/albums/19-2023-5-star/Ver-B.jpg", "B", "A"
68, "5-star", "./images/albums/19-2023-5-star/Ver-C.jpg", "C", "A"
69, "5-star", "./images/albums/19-2023-5-star/Ver-limite.jpg", "Limited", "A"
70, "Social path / Super bowl", "./images/albums/20-2023-Social_path_super_bowl/Couverture.jpg", "Couverture", "C"
71, "Social path / Super bowl", "./images/albums/20-2023-Social_path_super_bowl/Ver-A.jpg", "Limited A", "A"
72, "Social path / Super bowl", "./images/albums/20-2023-Social_path_super_bowl/Ver-B.jpg", "Limited B", "A"
73, "Rock-star", "./images/albums/21-2023-Rock-star/Couverture.jpg", "Couverture", "C"
74, "Rock-star", "./images/albums/21-2023-Rock-star/Ver-Rock.jpg", "Rock", "A"
75, "Rock-star", "./images/albums/21-2023-Rock-star/Ver-Roll.jpg", "Roll", "A"
76, "Rock-star", "./images/albums/21-2023-Rock-star/Ver-limite.jpg", "Star Limited", "A"
77, "Ate", "./images/albums/22-2024-Ate/Couverture.jpg", "Couverture", "C"
78, "Ate", "./images/albums/22-2024-Ate/Ver-Chk_chk.jpg", "Chk chk", "A"
79, "Ate", "./images/albums/22-2024-Ate/Ver-Boom.jpg", "Boom", "A"
80, "Ate", "./images/albums/22-2024-Ate/Ver-limite.jpg", "Ate Limited", "A"
81, "Giant", "./images/albums/23-2024-Giant/Couverture.jpg", "Couverture", "C"
82, "Giant", "./images/albums/23-2024-Giant/Ver-A.jpg", "Limited A", "A"
83, "Giant", "./images/albums/23-2024-Giant/Ver-B.jpg", "Limited B", "A"
84, "Hop", "./images/albums/24-2024-Hop/Couverture.jpg", "Couverture", "C"
85, "Hop", "./images/albums/24-2024-Hop/Ver-A.jpg", "SkzHop", "A"
86, "Hop", "./images/albums/24-2024-Hop/Ver-B.jpg", "Hiptape", "A"
87, "Hollow", "./images/albums/25-2025-Hollow/Couverture.jpg", "Couverture", "C"
88, "Hollow", "./images/albums/25-2025-Hollow/Ver-A.jpg", "Limited A", "B"
89, "Hollow", "./images/albums/25-2025-Hollow/Ver-B.jpg", "Limited B", "B"
90, "Hollow", "./images/albums/25-2025-Hollow/Ver-C.jpg", "Limited C", "B"
91, "Karma", "./images/albums/26-2025-Karma/Couverture.jpg", "Couverture", "C"
92, "Karma", "./images/albums/26-2025-Karma/Ver-Ceremony.jpg", "Ceremony", "B"
93, "Karma", "./images/albums/26-2025-Karma/Ver-Hooray.jpg", "Hooray", "B"
94, "Do it", "./images/albums/27-2025-Do_it/Couverture.jpg", "Couverture", "C"
95, "Do it", "./images/albums/27-2025-Do_it/Ver-Do.jpg", "Do", "A"
96, "Do it", "./images/albums/27-2025-Do_it/Ver-It.jpg", "It", "A"